routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
9722;nap_gellert_e;C6305325.0;1;3.0276910569105686;431.88;1866.71;17.53;-19.47999999999999;0.7;4;799.5657036719304
2400;nap_gellert_e;C63598134.0;1;4.441589403973509;73.9;673.45;8.430000000000007;-10.86;0.7;2;278.3598973320745
150;nap_gellert_e;C72468122.0;1;6.924105263157895;26.04;660.1;2.430000000000007;-2.3100000000000165;0.7;2;217.7784892881856
150;nap_gellert_e;C72468162.0;1;6.755773195876289;28.32;660.1;2.4200000000000017;-2.3300000000000125;0.7;2;218.8173700727692
270;nap_gellert_e;C734723356.0;1;5.81611821086262;110.14;3647.97;105.19;-68.02;0.7;12;1136.781819094359
270;nap_gellert_e;C734723604.0;1;5.752432859399684;116.49;3647.97;105.55000000000004;-68.38000000000002;0.7;12;1132.816074228343
2120;nap_gellert_e;C74509178.0;1;1.2761594896331738;2726.14;4023.52;81.21999999999998;-24.66;0.7;11;2866.391361014143
2120;nap_gellert_e;C74509586.0;1;0.9434459140292866;3825.86;4018.91;81.06000000000002;-24.50000000000003;0.7;11;3384.9489142351827
2120;nap_gellert_e;C74509844.0;1;1.076115301724138;3303.74;4018.91;81.45000000000005;-24.890000000000057;0.7;11;3223.6195338851985
2120;nap_gellert_e;C74509938.0;1;3.553816381638164;680.56;4000.76;22.23000000000001;-79.15;0.7;11;1890.9495364208103
1070;nap_gellert_e;C74750262.0;1;7.095826771653544;78.01;1803.38;77.24999999999997;-69.46999999999997;0.7;3;531.4380729064202
530;nap_gellert_e;C7619424.0;1;5.168728652751423;229.65;2727.45;20.269999999999985;-29.30999999999997;0.7;7;1045.7622151199605
530;nap_gellert_e;C761944394.0;1;4.550909090909091;220.7;1904.06;21.97999999999999;-16.69999999999999;0.7;6;796.4716997226888
530;nap_gellert_e;C761944809.0;1;4.524880952380952;222.81;1904.06;22.24000000000001;-17.03;0.7;6;757.4835689641343
1540;nap_gellert_e;C763621002.0;1;5.112531914893617;234.77;2405.95;17.290000000000006;-25.680000000000007;0.7;6;936.8784834872276
1530;nap_gellert_e;C76362804.0;1;4.8579729729729735;152.16;1439.94;17.51000000000002;-15.730000000000018;0.7;4;535.811295650397
580;nap_gellert_e;C76444103.0;1;4.0965399239543725;142.91;1077.56;18.03;-10.549999999999995;0.7;3;473.089096987027
580;nap_gellert_e;C76444130.0;1;3.706487804878048;312.83;2279.6;17.53999999999995;-29.51999999999996;0.7;5;975.9329087226192
580;nap_gellert_e;C7644455.0;1;3.2488519637462234;211.1;1077.56;18.01000000000002;-10.570000000000007;0.7;3;477.29803396432993
2140;nap_gellert_e;C7664714516.0;1;2.299786019971469;544.9;1612.25;12.009999999999993;-21.69;0.7;4;793.5719582298847
1140;nap_gellert_e;C7664715100.0;1;3.2113147410358565;345.88;1612.25;12.009999999999977;-21.689999999999984;0.7;4;714.7990151343257
2140;nap_gellert_e;C76647202.0;1;3.917636363636363;155.03;1077.56;18.05;-10.569999999999991;0.7;3;462.53799612485375
1140;nap_gellert_e;C76647947.0;1;4.141730769230769;140.15;1077.56;18.05;-10.579999999999984;0.7;3;451.4924509151165
9180;nap_gellert_e;C767841140.0;1;2.1463749999999995;442.87;1203.38;11.150000000000006;-17.840000000000003;0.7;3;663.9283411353272
9180;nap_gellert_e;C76784379.0;1;1.473845208845209;697.07;1203.38;11.11999999999999;-17.849999999999994;0.7;3;806.1530032112524
